"Name"	"Team"	"Points"	"Cost"	"Position"	"per"	"per_ord"
"147"	"Tomkins"	"Crystal Palace"	70	5	"DEF"	14	"Tomkins"
"148"	"Lovren"	"Liverpool"	70	5	"DEF"	14	"Lovren"
"149"	"Cameron"	"Stoke"	63	4.5	"DEF"	14	"Cameron"
"150"	"Cleverley"	"Everton"	77	5.5	"MID"	14	"Cleverley"
"151"	"Borini"	"Sunderland"	77	5.5	"ATK"	14	"Borini"
"152"	"Benteke"	"Liverpool"	104	7.5	"ATK"	13.8666666666667	"Benteke"
"153"	"Carroll.1"	"West Ham"	90	6.5	"ATK"	13.8461538461538	"Carroll.1"
"154"	"Koné.1"	"Everton"	76	5.5	"ATK"	13.8181818181818	"Koné.1"
"155"	"Schneiderlin"	"Man Utd"	69	5	"MID"	13.8	"Schneiderlin"
"156"	"Guzan"	"Middlesbrough"	62	4.5	"GK"	13.7777777777778	"Guzan"
"157"	"Forster"	"Southampton"	68	5	"GK"	13.6	"Forster"
"158"	"Reid"	"West Ham"	68	5	"DEF"	13.6	"Reid"
"159"	"Costa"	"Chelsea"	129	9.5	"ATK"	13.5789473684211	"Costa"
"160"	"Targett"	"Southampton"	61	4.5	"DEF"	13.5555555555556	"Targett"
"161"	"Koné"	"Sunderland"	60	4.5	"DEF"	13.3333333333333	"Koné"
"162"	"Lennon"	"Everton"	80	6	"MID"	13.3333333333333	"Lennon"
"163"	"Pugh"	"Bournemouth"	66	5	"MID"	13.2	"Pugh"
"164"	"Prödl"	"Watford"	59	4.5	"DEF"	13.1111111111111	"Prödl"
"165"	"Rooney"	"Man Utd"	118	9	"ATK"	13.1111111111111	"Rooney"
"166"	"Jagielka"	"Everton"	65	5	"DEF"	13	"Jagielka"
"167"	"Sakho"	"Liverpool"	65	5	"DEF"	13	"Sakho"
"168"	"Can"	"Liverpool"	65	5	"MID"	13	"Can"
"169"	"Kompany"	"Man City"	76	6	"DEF"	12.6666666666667	"Kompany"
"170"	"Britos"	"Watford"	57	4.5	"DEF"	12.6666666666667	"Britos"
"171"	"Lingard"	"Man Utd"	76	6	"MID"	12.6666666666667	"Lingard"
"172"	"Anya"	"Watford"	57	4.5	"MID"	12.6666666666667	"Anya"
"173"	"Deulofeu"	"Everton"	82	6.5	"MID"	12.6153846153846	"Deulofeu"
"174"	"Courtois"	"Chelsea"	69	5.5	"GK"	12.5454545454545	"Courtois"
"175"	"De Bruyne"	"Man City"	131	10.5	"MID"	12.4761904761905	"De Bruyne"
"176"	"Pantilimon"	"Watford"	56	4.5	"GK"	12.4444444444444	"Pantilimon"
"177"	"Foster"	"West Brom"	56	4.5	"GK"	12.4444444444444	"Foster"
"178"	"Rangel"	"Swansea"	56	4.5	"DEF"	12.4444444444444	"Rangel"
"179"	"Mangala"	"Man City"	68	5.5	"DEF"	12.3636363636364	"Mangala"
"180"	"Ulloa"	"Leicester"	74	6	"ATK"	12.3333333333333	"Ulloa"
"181"	"Baines"	"Everton"	67	5.5	"DEF"	12.1818181818182	"Baines"
"182"	"Sterling"	"Man City"	96	8	"MID"	12	"Sterling"
"183"	"Fernando"	"Man City"	60	5	"MID"	12	"Fernando"
"184"	"Morrison"	"West Brom"	60	5	"MID"	12	"Morrison"
"185"	"Sakho.1"	"West Ham"	71	6	"ATK"	11.8333333333333	"Sakho.1"
"186"	"Rojo"	"Man Utd"	65	5.5	"DEF"	11.8181818181818	"Rojo"
"187"	"Stanislas"	"Bournemouth"	65	5.5	"MID"	11.8181818181818	"Stanislas"
"188"	"Routledge"	"Swansea"	59	5	"MID"	11.8	"Routledge"
"189"	"Wanyama"	"Spurs"	59	5	"MID"	11.8	"Wanyama"
"190"	"Cattermole"	"Sunderland"	53	4.5	"MID"	11.7777777777778	"Cattermole"
"191"	"Wickham"	"Crystal Palace"	70	6	"ATK"	11.6666666666667	"Wickham"
"192"	"Yoshida"	"Southampton"	52	4.5	"DEF"	11.5555555555556	"Yoshida"
"193"	"Collins"	"West Ham"	52	4.5	"DEF"	11.5555555555556	"Collins"
"194"	"Iheanacho"	"Man City"	80	7	"ATK"	11.4285714285714	"Iheanacho"
"195"	"Stekelenburg"	"Everton"	57	5	"GK"	11.4	"Stekelenburg"
"196"	"Walcott"	"Arsenal"	85	7.5	"MID"	11.3333333333333	"Walcott"
"197"	"Diouf"	"Stoke"	68	6	"ATK"	11.3333333333333	"Diouf"
"198"	"Herrera"	"Man Utd"	73	6.5	"MID"	11.2307692307692	"Herrera"
"199"	"Ibe"	"Bournemouth"	61	5.5	"MID"	11.0909090909091	"Ibe"
"200"	"Ki Sung-yueng"	"Swansea"	61	5.5	"MID"	11.0909090909091	"Ki Sung-yueng"
"201"	"Begovic"	"Chelsea"	55	5	"GK"	11	"Begovic"
"202"	"Lucas"	"Liverpool"	49	4.5	"MID"	10.8888888888889	"Lucas"
"203"	"King.1"	"Leicester"	54	5	"MID"	10.8	"King.1"
"204"	"Valencia"	"Man Utd"	59	5.5	"DEF"	10.7272727272727	"Valencia"
"205"	"Silva"	"Man City"	96	9	"MID"	10.6666666666667	"Silva"
"206"	"Carrick"	"Man Utd"	48	4.5	"MID"	10.6666666666667	"Carrick"
"207"	"Brunt"	"West Brom"	53	5	"DEF"	10.6	"Brunt"
"208"	"Berahino"	"West Brom"	68	6.5	"ATK"	10.4615384615385	"Berahino"
"209"	"Schlupp"	"Leicester"	52	5	"DEF"	10.4	"Schlupp"
"210"	"Davies.1"	"Spurs"	52	5	"DEF"	10.4	"Davies.1"
"211"	"Hazard"	"Chelsea"	104	10	"MID"	10.4	"Hazard"
"212"	"Terry"	"Chelsea"	57	5.5	"DEF"	10.3636363636364	"Terry"
"213"	"Coquelin"	"Arsenal"	46	4.5	"MID"	10.2222222222222	"Coquelin"
"214"	"Britton"	"Swansea"	46	4.5	"MID"	10.2222222222222	"Britton"
"215"	"Joselu"	"Stoke"	56	5.5	"ATK"	10.1818181818182	"Joselu"
"216"	"Valencia.1"	"West Ham"	56	5.5	"ATK"	10.1818181818182	"Valencia.1"
"217"	"Clichy"	"Man City"	55	5.5	"DEF"	10	"Clichy"
"218"	"Shawcross"	"Stoke"	50	5	"DEF"	10	"Shawcross"
"219"	"Jones.1"	"Sunderland"	45	4.5	"DEF"	10	"Jones.1"
"220"	"Chadli"	"Spurs"	65	6.5	"MID"	10	"Chadli"
"221"	"Sako"	"Crystal Palace"	55	5.5	"MID"	10	"Sako"
"222"	"Mikel"	"Chelsea"	45	4.5	"MID"	10	"Mikel"
"223"	"Oriol Romeu"	"Southampton"	45	4.5	"MID"	10	"Oriol Romeu"
"224"	"Kirchhoff"	"Sunderland"	45	4.5	"MID"	10	"Kirchhoff"
"225"	"Oscar"	"Chelsea"	74	7.5	"MID"	9.86666666666667	"Oscar"
"226"	"Townsend"	"Crystal Palace"	64	6.5	"MID"	9.84615384615385	"Townsend"
"227"	"O'Shea"	"Sunderland"	43	4.5	"DEF"	9.55555555555556	"O'Shea"
"228"	"Lens"	"Sunderland"	57	6	"MID"	9.5	"Lens"
"229"	"Son"	"Spurs"	70	7.5	"MID"	9.33333333333333	"Son"
"230"	"Robles"	"Everton"	46	5	"GK"	9.2	"Robles"
"231"	"Mirallas"	"Everton"	59	6.5	"MID"	9.07692307692308	"Mirallas"
"232"	"Campbell"	"Arsenal"	54	6	"MID"	9	"Campbell"
"233"	"Watmore"	"Sunderland"	45	5	"MID"	9	"Watmore"
"234"	"Cahill"	"Chelsea"	53	6	"DEF"	8.83333333333333	"Cahill"
"235"	"Henderson"	"Liverpool"	57	6.5	"MID"	8.76923076923077	"Henderson"
"236"	"Gradel"	"Bournemouth"	48	5.5	"MID"	8.72727272727273	"Gradel"
"237"	"Galloway"	"Everton"	39	4.5	"DEF"	8.66666666666667	"Galloway"
"238"	"Jedinak"	"Crystal Palace"	39	4.5	"MID"	8.66666666666667	"Jedinak"
"239"	"Clasie"	"Southampton"	43	5	"MID"	8.6	"Clasie"
"240"	"Imbula"	"Stoke"	43	5	"MID"	8.6	"Imbula"
"241"	"Barrow"	"Swansea"	43	5	"ATK"	8.6	"Barrow"
"242"	"Arter"	"Bournemouth"	42	5	"MID"	8.4	"Arter"
